Date : 2025-07-27 17:51:36
Directory : d:\qtproject\FeiQ2
Total : 75 files,  4839 codes, 899 comments, 937 blanks, all 6675 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         60 |      4,566 |        839 |        835 |      6,240 |
| CMake    |         10 |        173 |         60 |         58 |        291 |
| Markdown |          1 |         52 |          0 |         44 |         96 |
| JSON     |          4 |         48 |          0 |          0 |         48 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                  |         75 |      4,839 |        899 |        937 |      6,675 |
| . (Files)                                                          |          1 |         68 |         31 |         30 |        129 |
| code                                                               |         51 |      3,925 |        724 |        711 |      5,360 |
| code (Files)                                                       |          1 |          9 |          0 |          3 |         12 |
| code\Mapper                                                        |          1 |          7 |          0 |          0 |          7 |
| code\MyControl                                                     |          9 |        234 |         32 |         43 |        309 |
| code\MyControl (Files)                                             |          1 |          4 |          0 |          2 |          6 |
| code\MyControl\MyLabel                                             |          2 |         81 |         17 |         15 |        113 |
| code\MyControl\MyWidget                                            |          6 |        149 |         15 |         26 |        190 |
| code\Sqlite3                                                       |          1 |        149 |         14 |         23 |        186 |
| code\dataProcess                                                   |          2 |        157 |         34 |         40 |        231 |
| code\fileSystem                                                    |          6 |        169 |         28 |         24 |        221 |
| code\fileSystem (Files)                                            |          2 |         14 |          0 |          7 |         21 |
| code\fileSystem\downloader                                         |          2 |         16 |          1 |          3 |         20 |
| code\fileSystem\uploader                                           |          2 |        139 |         27 |         14 |        180 |
| code\infoModule                                                    |          4 |        161 |         11 |          9 |        181 |
| code\infoModule (Files)                                            |          1 |         71 |          8 |          6 |         85 |
| code\infoModule\chatMessage                                        |          3 |         90 |          3 |          3 |         96 |
| code\jsonCpp                                                       |          2 |        123 |         30 |         23 |        176 |
| code\logs                                                          |          2 |         66 |         17 |          4 |         87 |
| code\mainwindow                                                    |          6 |      1,203 |        204 |        279 |      1,686 |
| code\networkModule                                                 |          6 |        676 |        128 |         95 |        899 |
| code\systemInfoHelper                                              |          7 |        407 |         94 |         68 |        569 |
| code\task                                                          |          3 |        242 |         95 |         43 |        380 |
| code\threadPool                                                    |          1 |        322 |         37 |         57 |        416 |
| setting                                                            |          3 |         35 |          0 |          0 |         35 |
| test                                                               |         20 |        811 |        144 |        196 |      1,151 |
| test (Files)                                                       |          1 |         23 |          9 |          5 |         37 |
| test\BoostAsio                                                     |          2 |        125 |         13 |         18 |        156 |
| test\BoostUdp                                                      |          2 |         96 |         17 |         24 |        137 |
| test\GetLocalName                                                  |          1 |         23 |          2 |          3 |         28 |
| test\GetLocalNet                                                   |          2 |        159 |         55 |         19 |        233 |
| test\OpenSSLtest                                                   |          3 |        191 |         29 |         81 |        301 |
| test\SqlLite                                                       |          2 |         12 |          1 |          6 |         19 |
| test\boostFilesystem                                               |          1 |          0 |          0 |          1 |          1 |
| test\front                                                         |          1 |         15 |          3 |          2 |         20 |
| test\jsonCpp                                                       |          3 |         77 |          7 |         14 |         98 |
| test\zlib                                                          |          2 |         90 |          8 |         23 |        121 |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                           | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\qtproject\FeiQ2\CMakeLists.txt                                  | CMake    |         68 |         31 |         30 |        129 |
| d:\qtproject\FeiQ2\code\Mapper\Mapper.h                            | C++      |          7 |          0 |          0 |          7 |
| d:\qtproject\FeiQ2\code\MyControl\MetaDataDefine.h                 | C++      |          4 |          0 |          2 |          6 |
| d:\qtproject\FeiQ2\code\MyControl\MyLabel\mylabel.cpp              | C++      |         49 |         10 |         13 |         72 |
| d:\qtproject\FeiQ2\code\MyControl\MyLabel\mylabel.h                | C++      |         32 |          7 |          2 |         41 |
| d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendChatWidget.cpp    | C++      |         19 |          0 |          4 |         23 |
| d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendChatWidget.h      | C++      |         15 |          0 |          2 |         17 |
| d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendItemWidget.cpp    | C++      |         46 |          6 |         12 |         64 |
| d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendItemWidget.h      | C++      |         41 |          6 |          3 |         50 |
| d:\qtproject\FeiQ2\code\MyControl\MyWidget\MessageBubble.cpp       | C++      |         13 |          2 |          3 |         18 |
| d:\qtproject\FeiQ2\code\MyControl\MyWidget\MessageBubble.h         | C++      |         15 |          1 |          2 |         18 |
| d:\qtproject\FeiQ2\code\Sqlite3\SqlLite.h                          | C++      |        149 |         14 |         23 |        186 |
| d:\qtproject\FeiQ2\code\dataProcess\DataProcess.cpp                | C++      |        131 |         32 |         37 |        200 |
| d:\qtproject\FeiQ2\code\dataProcess\DataProcess.h                  | C++      |         26 |          2 |          3 |         31 |
| d:\qtproject\FeiQ2\code\fileSystem\FileSystem.cpp                  | C++      |          0 |          0 |          1 |          1 |
| d:\qtproject\FeiQ2\code\fileSystem\FileSystem.h                    | C++      |         14 |          0 |          6 |         20 |
| d:\qtproject\FeiQ2\code\fileSystem\downloader\downloader.cpp       | C++      |          8 |          0 |          3 |         11 |
| d:\qtproject\FeiQ2\code\fileSystem\downloader\downloader.h         | C++      |          8 |          1 |          0 |          9 |
| d:\qtproject\FeiQ2\code\fileSystem\uploader\uploader.cpp           | C++      |        111 |         18 |          9 |        138 |
| d:\qtproject\FeiQ2\code\fileSystem\uploader\uploader.h             | C++      |         28 |          9 |          5 |         42 |
| d:\qtproject\FeiQ2\code\infoModule\FriendInfo.h                    | C++      |         71 |          8 |          6 |         85 |
| d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageDAO.h    | C++      |         56 |          3 |          1 |         60 |
| d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageDO.h     | C++      |         18 |          0 |          2 |         20 |
| d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageMapper.h | C++      |         16 |          0 |          0 |         16 |
| d:\qtproject\FeiQ2\code\jsonCpp\dispositionReader.cpp              | C++      |         87 |         21 |         16 |        124 |
| d:\qtproject\FeiQ2\code\jsonCpp\dispositionReader.h                | C++      |         36 |          9 |          7 |         52 |
| d:\qtproject\FeiQ2\code\logs\logs.cpp                              | C++      |         42 |         14 |          3 |         59 |
| d:\qtproject\FeiQ2\code\logs\logs.h                                | C++      |         24 |          3 |          1 |         28 |
| d:\qtproject\FeiQ2\code\main.cpp                                   | C++      |          9 |          0 |          3 |         12 |
| d:\qtproject\FeiQ2\code\mainwindow\mainwindow.cpp                  | C++      |        236 |         71 |         57 |        364 |
| d:\qtproject\FeiQ2\code\mainwindow\mainwindow.h                    | C++      |         67 |         18 |         14 |         99 |
| d:\qtproject\FeiQ2\code\mainwindow\settingswidget.cpp              | C++      |        559 |         62 |        129 |        750 |
