Date : 2025-06-10 22:34:24
Directory : d:\qtproject\FeiQ2
Total : 53 files,  2963 codes, 597 comments, 514 blanks, all 4074 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         43 |      2,764 |        543 |        429 |      3,736 |
| CMake    |          8 |        134 |         54 |         41 |        229 |
| Markdown |          1 |         52 |          0 |         44 |         96 |
| JSON     |          1 |         13 |          0 |          0 |         13 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |         53 |      2,963 |        597 |        514 |      4,074 |
| . (Files)                                                     |          1 |         63 |         29 |         23 |        115 |
| code                                                          |         35 |      2,148 |        434 |        312 |      2,894 |
| code (Files)                                                  |          1 |         12 |          0 |          2 |         14 |
| code\MyControl                                                |          4 |        155 |         29 |         27 |        211 |
| code\MyControl (Files)                                        |          1 |          5 |          0 |          1 |          6 |
| code\MyControl\MyLabel                                        |          2 |         81 |         17 |         15 |        113 |
| code\MyControl\MyWidget                                       |          1 |         69 |         12 |         11 |         92 |
| code\Sqlite3                                                  |          1 |        126 |         10 |         23 |        159 |
| code\dataProcess                                              |          2 |        107 |         21 |         26 |        154 |
| code\fileSystem                                               |          6 |        154 |         28 |         21 |        203 |
| code\fileSystem (Files)                                       |          2 |         12 |          0 |          7 |         19 |
| code\fileSystem\downloader                                    |          2 |          7 |          1 |          1 |          9 |
| code\fileSystem\uploader                                      |          2 |        135 |         27 |         13 |        175 |
| code\jsonCpp                                                  |          2 |        123 |         30 |         23 |        176 |
| code\logs                                                     |          2 |         66 |         17 |          4 |         87 |
| code\mainwindow                                               |          2 |         74 |         17 |          8 |         99 |
| code\networkModule                                            |          6 |        661 |        131 |         84 |        876 |
| code\systemInfoHelper                                         |          6 |        404 |         93 |         65 |        562 |
| code\task                                                     |          2 |        184 |         49 |         21 |        254 |
| code\threadPool                                               |          1 |         82 |          9 |          8 |         99 |
| test                                                          |         17 |        752 |        134 |        179 |      1,065 |
| test (Files)                                                  |          1 |         23 |          9 |          5 |         37 |
| test\BoostAsio                                                |          2 |        125 |         13 |         18 |        156 |
| test\BoostUdp                                                 |          2 |         96 |         17 |         24 |        137 |
| test\GetLocalName                                             |          1 |         23 |          2 |          3 |         28 |
| test\GetLocalNet                                              |          2 |        159 |         55 |         19 |        233 |
| test\OpenSSLtest                                              |          3 |        191 |         29 |         81 |        301 |
| test\SqlLite                                                  |          2 |         58 |          2 |         14 |         74 |
| test\boostFilesystem                                          |          1 |          0 |          0 |          1 |          1 |
| test\jsonCpp                                                  |          3 |         77 |          7 |         14 |         98 |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                      | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\qtproject\FeiQ2\CMakeLists.txt                             | CMake    |         63 |         29 |         23 |        115 |
| d:\qtproject\FeiQ2\code\MyControl\MetaDataDefine.h            | C++      |          5 |          0 |          1 |          6 |
| d:\qtproject\FeiQ2\code\MyControl\MyLabel\mylabel.cpp         | C++      |         49 |         10 |         13 |         72 |
| d:\qtproject\FeiQ2\code\MyControl\MyLabel\mylabel.h           | C++      |         32 |          7 |          2 |         41 |
